GEOID,status,projects,funding,federal_funding,average_months_approval,average_months_closed,percent_projects,percent_funding,poverty_estimate,poverty_population,pctpov,majority,plurality,white,black,asian,american_indian,hispanic,urban_rural,pov_quantile,state,county
01000,Approved,15,7530472.17,6805865.3,-7.466666666666667,,83.3,96.5,,,,,,,,,,,,,,
01000,Closed,3,276464,276464,6,82.33333333333333,16.7,3.5,,,,,,,,,,,,,,
01001,Approved,1,182900,137175,14,,16.7,33.1,8340,54922,15.1851716980445,White,White,74.6,19,1.03,0.01,2.83,3,3,AL,Autauga County
01001,Closed,5,369230,251348,-7.4,85.4,83.3,66.9,8340,54922,15.1851716980445,White,White,74.6,19,1.03,0.01,2.83,3,3,AL,Autauga County
01003,Approved,10,5021279,3411911.25,5.2,,62.5,85.5,21704,209618,10.354072646433035,White,White,83.07,9.17,0.92,0,4.56,4,1,AL,Baldwin County
01003,Closed,6,848166,598942,3.3333333333333335,50.333333333333336,37.5,14.5,21704,209618,10.354072646433035,White,White,83.07,9.17,0.92,0,4.56,4,1,AL,Baldwin County
01007,Approved,2,466327,349745,-6,,28.6,61.1,3740,20632,18.127181077937184,White,White,74.53,22.14,0.12,0,2.57,2,3,AL,Bibb County
01007,Closed,5,296575,218467,-8.4,78.6,71.4,38.9,3740,20632,18.127181077937184,White,White,74.53,22.14,0.12,0,2.57,2,3,AL,Bibb County
01009,Approved,7,906749,646775,1.8571428571428572,,50,69.5,7739,57108,13.551516425019262,White,White,86.89,1.53,0.37,0.04,9.26,2,2,AL,Blount County
01009,Closed,7,398644,287099,0.7142857142857143,32.57142857142857,50,30.5,7739,57108,13.551516425019262,White,White,86.89,1.53,0.37,0.04,9.26,2,2,AL,Blount County
01011,Closed,2,38634,26726,-3,84,100,100,2825,9784,28.873671300081767,Non-White,Black,21.38,74.8,0.49,0,2.56,6,4,AL,Bullock County
01013,Approved,1,12895,8000,5,,25,6.8,4397,19540,22.502558853633573,White,White,51.6,45.03,0.35,0,1.4,6,4,AL,Butler County
01013,Closed,3,176166,116270,4.666666666666667,65.66666666666667,75,93.2,4397,19540,22.502558853633573,White,White,51.6,45.03,0.35,0,1.4,6,4,AL,Butler County
01015,Approved,10,1603987,1202990.75,6.4,,76.9,83.3,19969,111542,17.90267343242904,White,White,72.07,20.66,0.88,0.01,3.8,4,3,AL,Calhoun County
01015,Closed,3,321121,225700,-3.6666666666666665,92.33333333333333,23.1,16.7,19969,111542,17.90267343242904,White,White,72.07,20.66,0.88,0.01,3.8,4,3,AL,Calhoun County
