GEOID,poverty_estimate,poverty_population,pctpov,majority,plurality,white,black,asian,american_indian,hispanic,urban_rural
01001,8340,54922,15.1851716980445,White,White,74.6,19,1.03,0.01,2.83,3
01003,21704,209618,10.354072646433035,White,White,83.07,9.17,0.92,0,4.56,4
01005,6875,22417,30.66868894142838,Non-White,Black,45.81,47.44,0.48,0,4.36,6
01007,3740,20632,18.127181077937184,White,White,74.53,22.14,0.12,0,2.57,2
01009,7739,57108,13.551516425019262,White,White,86.89,1.53,0.37,0.04,9.26,2
01011,2825,9784,28.873671300081767,Non-White,Black,21.38,74.8,0.49,0,2.56,6
01013,4397,19540,22.502558853633573,White,White,51.6,45.03,0.35,0,1.4,6
01015,19969,111542,17.90267343242904,White,White,72.07,20.66,0.88,0.01,3.8,4
01017,5711,33103,17.252212790381535,White,White,55.55,39.56,1.12,0,2.38,5
01019,3560,25571,13.922021039458762,White,White,91.72,4.6,0.25,0,1.59,6
01021,8302,43430,19.115818558600044,White,White,80.13,9.17,0.44,0,7.85,2
01023,2968,12712,23.348017621145374,White,White,56.38,42.55,0.13,0,0.41,6
01025,5484,23628,23.209751142712037,White,White,52.72,45.77,0.43,0,0.33,6
01027,2342,13049,17.947735458655835,White,White,80.36,15.51,0.16,0,3.14,6
01029,2531,14644,17.283529090412454,White,White,92.69,2.75,0.02,0,2.46,6
01031,7670,50898,15.069354395064638,White,White,70.15,16.8,1.44,0,7.28,5
01033,8390,54248,15.466007963427222,White,White,78.2,16.08,0.47,0.09,2.84,4
01035,2161,12283,17.59342180249125,White,White,50.05,47.76,0.45,0,0.68,6
01037,1399,10353,13.512991403457935,White,White,64.8,33.61,0,0,1.01,5
01039,6756,36348,18.586992406734897,White,White,83.29,13.39,0.38,0.09,1.69,6
01041,2065,13623,15.158188357924098,White,White,70.98,23.13,1.26,0.07,0.79,6
01043,12133,81597,14.869419218843829,White,White,91.88,1.25,0.38,0,4.36,5
01045,8424,47739,17.645949852322,White,White,68.57,19.78,1.22,0.01,6.51,5
01047,11204,38546,29.066569812691327,Non-White,Black,27.32,70.43,0.57,0.01,1.07,5
01049,14833,70355,21.083078672446874,White,White,80.44,1.43,0.12,0.21,14.55,6
01051,8820,76637,11.508801231780993,White,White,73.16,21.23,0.54,0,2.96,3
01053,7551,34089,22.150840447065036,White,White,60.23,31.98,0.28,0.15,2.33,6
01055,17625,101346,17.390918240483096,White,White,77.86,15.44,0.74,0.02,3.88,4
01057,3146,16182,19.441354591521442,White,White,84.5,11.17,0.47,0.04,1.8,6
01059,6007,30947,19.410605228293534,White,White,76.85,4.29,0.37,0,17.16,6
01061,5743,26092,22.010577954928713,White,White,83.85,9.41,0.44,0.05,3.98,4
01063,3140,8242,38.0975491385586,Non-White,Black,17.24,79.46,0,0,1.74,6
01065,3522,14565,24.181256436663233,Non-White,Black,39.53,59.37,0.22,0,0.03,4
01067,2316,16752,13.825214899713467,White,White,69.17,26.55,0.4,0.1,2.62,4
01069,18885,103568,18.2343967248571,White,White,66.46,26.76,0.87,0.04,3.32,4
01071,9536,51312,18.584346741502962,White,White,89.25,3.42,0.45,0.11,2.93,5
01073,103417,645406,16.023557264729487,Non-White,White,49.89,42.8,1.57,0.03,3.87,1
01075,2827,13692,20.647093193105462,White,White,85.99,10.65,0.12,0,1.65,6
01077,13175,90346,14.582826024395104,White,White,84.72,10.14,0.64,0.07,2.68,4
01079,5906,32753,18.031936005862057,White,White,76.49,10.58,0.2,0.08,2.19,4
01081,30423,155265,19.59424210221235,White,White,67.44,22.73,4.11,0,3.68,4
01083,12436,91626,13.572566738698622,White,White,76.54,13.6,1.37,0.06,6.02,3
01085,2664,9936,26.811594202898554,Non-White,Black,24.66,74.36,0,0,0.5,3
01087,3995,16359,24.420808117855614,Non-White,Black,15.85,82.54,0.17,0,0.81,6
01089,44038,352884,12.47945500504415,White,White,64.68,24.05,2.62,0.08,4.95,3
01091,4174,19056,21.903862300587743,Non-White,Black,44.88,53.56,0,0,1.01,6
01093,5137,29386,17.481113455386918,White,White,91.85,3.43,0.18,0,2.6,6
01095,19147,94283,20.308008866921927,White,White,80.75,2.67,0.6,0.05,13.97,5
01097,76275,406137,18.78060851387586,White,White,56.89,35.54,1.89,0.01,2.9,3
01099,5869,21004,27.942296705389452,White,White,54.27,42.36,0.27,0.03,0.38,6
01101,42442,219309,19.352602948351414,Non-White,Black,33.9,57.79,2.8,0.02,3.52,3
01103,17126,117005,14.636981325584378,White,White,75.63,12.69,0.64,0.06,8.36,4
01105,2612,8468,30.845536136041567,Non-White,Black,29.34,69.31,0.09,0,1.18,6
01107,4204,18506,22.71695666270399,White,White,53.65,39.84,0.06,0.06,4.87,4
01109,7701,31521,24.431331493290187,White,White,56.02,36.58,2.2,0.01,2.25,5
01111,3748,22139,16.92940060526672,White,White,75.29,19.67,0.21,0,2.95,6
01113,11775,56885,20.69965720312912,Non-White,White,46.07,43.41,0.87,0.04,5.49,3
01115,10484,85875,12.20844250363901,White,White,85.87,9.57,0.8,0.01,2.42,2
01117,15742,210328,7.484500399376212,White,White,77.87,12.02,2.06,0.02,5.72,2
01119,3782,11907,31.76282858822541,Non-White,Black,24.81,71.92,2.14,0,0.53,6
01121,14653,76886,19.05808599745077,White,White,62.63,32.37,0.61,0.03,2.29,5
01123,7546,39978,18.87538145980289,White,White,68.87,26.97,0.36,0,2.42,6
01125,34749,196790,17.657909446618223,White,White,61.55,31.89,1.61,0.04,3.72,4
01127,11440,63036,18.148359667491594,White,White,88.95,6.17,0.49,0,2.49,2
01129,3451,16342,21.117366295435076,White,White,64.95,23.54,0.25,0,1.46,6
01131,3111,10352,30.052163833075735,Non-White,Black,26.84,69.38,0.03,0,0.53,6
01133,4127,23406,17.63223105186704,White,White,93.7,0.73,0.16,0.05,3.15,6
02013,465,3378,13.765541740674955,Non-White,Asian,13.21,3.22,19.68,1,9.01,6
02016,373,5454,6.839017235056839,Non-White,Asian,23.83,3.35,39.63,2.65,14.06,6
02020,25861,286504,9.026401027559825,White,White,57.9,5.28,9.43,2.41,9.17,3
02050,4980,17622,28.26012938372489,Non-White,White,9.73,0.74,1.08,0.22,2.6,6
02060,61,850,7.1764705882352935,White,White,50.86,0.57,0.23,0.23,3.66,6
02068,354,2170,16.31336405529954,White,White,84.24,1.16,2.58,0,0.31,6
02070,843,4908,17.1760391198044,Non-White,White,15.4,1.59,1.35,0.06,3.71,6
02090,7575,94778,7.992361096456984,White,White,69.93,4.28,3.09,0.51,8.05,4
02100,278,2470,11.25506072874494,White,White,77.52,0,1.31,0.16,4.49,6
02105,221,2138,10.336763330215154,Non-White,White,43.81,3.04,1.59,0,6.83,6
02110,2440,31783,7.677060063555989,White,White,64.68,0.98,6.45,0.99,6.78,5
02122,6913,57233,12.078695857285132,White,White,79.92,0.54,1.57,0.33,4.15,6
02130,1304,13617,9.576264962914005,White,White,63.96,0.75,7.98,0.2,5.27,5
02150,1029,13195,7.79840848806366,Non-White,White,49.03,0.21,22.69,0.33,8.91,6
02158,3195,8190,39.010989010989015,Non-White,White,3.58,0.1,0.13,0.06,1.13,6
02164,229,1384,16.546242774566476,Non-White,White,20.96,1.15,1.65,0.36,0.14,6
02170,10624,103218,10.292778391365848,White,White,79.22,1.15,1.37,0.22,4.93,3
02180,2080,9653,21.54770537656687,Non-White,White,14.66,0.83,1.53,0.14,2.74,6
02185,983,9689,10.145525854061306,Non-White,White,30.91,1.44,5.38,1.86,2.03,6
02188,1995,7641,26.109148017275224,Non-White,White,10.77,1.08,1,0.1,1.45,6
02195,186,3244,5.733662145499383,White,White,65.49,1.01,4.57,0.58,11.7,6
02198,1098,6348,17.296786389413988,Non-White,White,45.26,0.45,1.42,0.62,3.86,6
02220,731,8438,8.663190329461958,White,White,61.57,0.71,6.66,0.09,6.76,6
02230,70,1098,6.375227686703097,White,White,82.11,3.34,0.81,0,5.69,6
02240,737,6784,10.86379716981132,White,White,73.66,0.32,2.66,0.06,6.06,6
02261,714,9131,7.81951593472785,White,White,69.31,0.38,4.07,0.63,5.24,6
02275,194,2478,7.828894269572236,White,White,61.87,0.04,0.72,0.36,5.04,6
02282,48,649,7.395993836671804,Non-White,White,43.3,0.77,4.93,1.23,7.7,6
02290,1352,5331,25.361095479272183,Non-White,White,21.55,0.07,0.71,0.04,2.66,6
04001,24963,70403,35.457295853869866,Non-White,White,18.21,0.52,0.34,0.02,6.34,6
04003,19476,117255,16.609952667263656,White,White,54.99,3.67,1.93,0.33,35.45,4
04005,22539,128041,17.602955303379385,White,White,54.05,1.12,1.87,0.17,14.11,4
04007,11367,52641,21.593434775175243,White,White,62.25,0.65,0.79,0,18.75,5
04009,7679,33980,22.598587404355502,White,White,50.86,1.82,0.63,0.12,33.01,5
04011,1250,9393,13.30778239114234,Non-White,Hispanic,46.62,2.05,0.55,0,46.8,6
04012,4592,20468,22.43502051983584,White,White,57.4,0.88,0.73,0.05,27.58,6
04013,588350,4272832,13.769556116411785,White,White,55.24,5.31,4.09,0.2,30.99,1
04015,33364,203644,16.383492761878575,White,White,77.29,1,1.07,0.2,16.45,4
04017,29663,106309,27.90262348437103,Non-White,White,41.28,0.74,0.59,0.13,11.42,5
04019,167823,998061,16.814904099048054,White,White,51.73,3.26,2.79,0.14,37.25,3
04021,53276,405131,13.15031434276814,White,White,56.79,4.08,1.58,0.29,30.16,2
04023,10729,46120,23.263226366001735,Non-White,Hispanic,14.85,0.24,0.83,0,83.46,5
04025,29085,223134,13.0347683454785,White,White,80.46,0.62,0.92,0.06,14.54,4
04027,39608,203812,19.433595666594705,Non-White,Hispanic,30.97,1.68,1.19,0.06,63.76,4
05001,3041,17532,17.345425507643167,White,White,69.76,25.88,0.04,0,3.19,6
05003,3347,20092,16.658371491140752,White,White,68.23,25.27,0.19,0,5.43,6
05005,5360,40888,13.108980630013695,White,White,94.71,0.16,0.43,0.04,2.38,5
05007,24767,262378,9.439434708702711,White,White,73.33,1.65,3.84,0.61,16.62,3
05009,5369,36630,14.657384657384656,White,White,93.87,0.33,0.37,0.09,2.49,5
05011,2211,10780,20.51020408163265,White,White,55.5,28.8,0.06,0,15.39,6
05013,680,5056,13.449367088607595,White,White,72.46,21.48,0,0.31,3.99,5
05015,4096,27677,14.799291830762003,White,White,79.62,0.5,1.38,0.92,14.96,6
05017,2872,9944,28.881737731295253,Non-White,Black,38.73,53.88,0.58,0,5.5,6
05019,4017,19798,20.289928275583392,White,White,68.69,24.24,0.7,0.03,4.73,5
05021,3106,14703,21.124940488335714,White,White,95.34,0.67,0.03,0,2.06,6
05023,3452,24727,13.960448093177499,White,White,94.67,0.39,0.67,0,2.43,6
05025,1475,8019,18.393814690110986,White,White,84.57,12.8,0,0,1.24,4
05027,5482,21933,24.994300825240508,White,White,59.27,35.92,1.07,0,2.71,5
05029,3649,20738,17.595718005593596,White,White,81.59,10.26,0.3,0,3.92,6
05031,17130,103022,16.62751645279649,White,White,76.03,14.5,1.41,0.01,5.05,4
05033,10609,61833,17.15750489220966,White,White,84.27,1.39,1.85,0.02,7.73,3
05035,10655,47952,22.220136803470137,Non-White,Black,41.99,47.82,0.69,0.04,2.56,2
05037,2555,16538,15.449268351674931,White,White,72.65,18.67,0.03,0,0.99,6
05039,955,6516,14.65623081645181,White,White,53.13,43.22,0.05,0.25,1.35,6
05041,3363,11541,29.13958929035612,Non-White,Black,45.23,46.6,0.44,0,6.13,6
05043,3268,17352,18.833563854310743,White,White,66.28,28.61,0.33,0,3.43,6
05045,19778,118617,16.673832587234543,White,White,80.04,11.34,1.33,0.12,4.09,3
05047,4005,17410,23.004020677771393,White,White,92.05,0.95,0.82,0.19,3.02,6
05049,2491,12028,20.710009976720983,White,White,94.91,0.47,0.07,0.07,1.6,6
05051,18032,96855,18.617521036601104,White,White,82.06,8.17,0.6,0,5.63,4
05053,2596,17875,14.523076923076921,White,White,92.57,2.57,0.04,0.07,2.75,3
05055,7246,44080,16.438294010889294,White,White,93,1.92,0.36,0.03,2.85,5
05057,4892,21558,22.692272010390575,White,White,54.61,29.98,0.12,0.33,12.82,6
05059,5658,31368,18.037490436113238,White,White,82.53,11.36,0.4,0.02,3.5,5
05061,2539,13094,19.390560562089508,White,White,64.14,20.88,0.27,0.09,12.54,6
05063,6049,36244,16.689658978037745,White,White,88.71,1.81,0.71,0.02,6.31,5
05065,1906,12630,15.091053048297704,White,White,92.93,1.83,0,0,2.31,6
05067,3489,14325,24.356020942408378,White,White,76.83,12.2,0.05,0.04,2.89,6
05069,13960,62881,22.20066474769803,Non-White,Black,38.88,56.49,0.95,0.13,2.1,4
