projectIdentifier,subappType,subapplicationType
DR-1779-0004-R,Regular Project,Utility and Infrastructure Protection
DR-1791-0052-F,HMGP 5% Initiative,Generators
DR-1780-0026-R,Regular Project,Wind Retrofit
DR-1780-0030-P,Planning,Mitigation Planning
DR-1780-0054-R,Regular Project,Floodproofing
DR-1786-0069-R,Regular Project,Flood Control
DR-1786-0066-R,Regular Project,Wind Retrofit
DR-4268-0013-R,Regular Project,Generators
DR-1791-0051-F,HMGP 5% Initiative,Generators
DR-4255-0011-R,Regular Project,Safe Room/Wind Shelter
DR-1794-0026-R,Regular Project,Flood Control
DR-1786-0074-R,Regular Project,Wind Retrofit
DR-4259-0012-P,Planning,Mitigation Planning
DR-4259-0029-R,Regular Project,Safe Room/Wind Shelter
DR-1790-0004-R,Regular Project,Flood Control
DR-1791-0168-R,Regular Project,Wind Retrofit
DR-4273-0055-R,Regular Project,Flood Control
DR-4272-0025-R,Regular Project,Utility and Infrastructure Protection
DR-1810-0007-P,Planning,Mitigation Planning
DR-1818-0012-R,Regular Project,Flood Control
DR-1802-0009-M,Management Costs,Management Costs and Technical Assistance
DR-4283-0038-R,Regular Project,Utility and Infrastructure Protection
DR-4285-0021-R,Regular Project,Acquisitions
DR-1813-0010-R,Regular Project,Flood Control
DR-1818-0149-R,Regular Project,Safe Room/Wind Shelter
DR-4283-0041-R,Regular Project,Wind Retrofit
DR-1831-0023-F,HMGP 5% Initiative,Warning Systems
DR-4283-0075-R,Regular Project,Wind Retrofit
DR-4283-0035-R,Regular Project,Generators
DR-4283-0032-R,Regular Project,Flood Control
DR-4283-0060-R,Regular Project,Generators
DR-4285-0025-R,Regular Project,Elevations
DR-1819-0042-R,Regular Project,Safe Room/Wind Shelter
DR-1838-0002-R,Regular Project,Acquisitions
DR-1858-0020-P,Planning,Mitigation Planning
DR-1833-0027-P,Planning,Mitigation Planning
DR-4283-0006-R,Regular Project,Wind Retrofit
DR-1833-0045-F,HMGP 5% Initiative,Warning Systems
DR-1865-0002-R,Regular Project,Utility and Infrastructure Protection
DR-4292-0008-R,Regular Project,Acquisitions
DR-1880-0044-R,Regular Project,Acquisitions
DR-4288-0003-F,HMGP 5% Initiative,Generators
DR-1840-0003-R,Regular Project,Wind Retrofit
DR-1862-0009-R,Regular Project,Flood Control
DR-1830-0008-R,Regular Project,Utility and Infrastructure Protection
DR-1833-0025-P,Planning,Mitigation Planning
DR-4283-0054-R,Regular Project,Flood Control
DR-1871-0036-F,HMGP 5% Initiative,Generators
DR-1899-0007-R,Regular Project,Landslide Stabilization
DR-4332-0069-R,Regular Project,Flood Control
DR-1909-0043-R,Regular Project,Acquisitions
DR-1841-0036-R,Regular Project,Acquisitions
DR-1845-0001-M,Management Costs,Management Costs and Technical Assistance
DR-1858-0072-P,Planning,Mitigation Planning
DR-4305-0017-R,Regular Project,Flood Control
DR-4307-0003-R,Regular Project,Generators
DR-4308-0036-R,Regular Project,Wildfire Mitigation
DR-1930-0012-P,Planning,Mitigation Planning
DR-1930-0036-R,Regular Project,Utility and Infrastructure Protection
DR-1931-0004-P,Planning,Mitigation Planning
DR-4320-0003-R,Regular Project,Acquisitions
DR-1895-0007-P,Planning,Mitigation Planning
DR-1895-0009-R,Regular Project,Flood Control
DR-1895-0021-R,Regular Project,Flood Control
DR-1872-0001-M,Management Costs,Management Costs and Technical Assistance
DR-1895-0011-F,HMGP 5% Initiative,Education and Awareness
DR-1905-0004-R,Regular Project,Acquisitions
DR-1909-0083-R,Regular Project,Utility and Infrastructure Protection
DR-1898-0031-R,Regular Project,Acquisitions
DR-1909-0030-R,Regular Project,Acquisitions
DR-1930-0010-R,Regular Project,Utility and Infrastructure Protection
DR-1895-0028-R,Regular Project,Flood Control
DR-1910-0016-R,Regular Project,Elevations
DR-1912-0001-M,Management Costs,Management Costs and Technical Assistance
DR-1933-0003-P,Planning,Mitigation Planning
DR-1943-0005-R,Regular Project,Flood Control
DR-1971-0099-R,Regular Project,Safe Room/Wind Shelter
DR-1930-0035-R,Regular Project,Acquisitions
DR-1950-0001-M,Management Costs,Management Costs and Technical Assistance
DR-1971-0630-R,Regular Project,Safe Room/Wind Shelter
DR-1971-0229-R,Regular Project,Safe Room/Wind Shelter
DR-4332-0169-R,Regular Project,Flood Control
DR-1971-0408-R,Regular Project,Safe Room/Wind Shelter
DR-4332-0302-R,Regular Project,Flood Control
DR-1947-0002-R,Regular Project,Utility and Infrastructure Protection
DR-1971-0182-R,Regular Project,Safe Room/Wind Shelter
DR-1971-0238-R,Regular Project,Safe Room/Wind Shelter
DR-1971-0573-R,Regular Project,Safe Room/Wind Shelter
DR-1971-0185-R,Regular Project,Safe Room/Wind Shelter
DR-4332-0232-R,Regular Project,Flood Control
DR-4337-0166-R,Regular Project,Wind Retrofit
DR-4337-0093-R,Regular Project,Wind Retrofit
DR-4337-0264-R,Regular Project,Wind Retrofit
DR-4337-0006-R,Regular Project,Wind Retrofit
DR-1971-0235-R,Regular Project,Safe Room/Wind Shelter
DR-1971-0296-R,Regular Project,Safe Room/Wind Shelter
DR-4337-0332-R,Regular Project,Wind Retrofit
DR-4337-0252-R,Regular Project,Generators
DR-1981-0030-R,Regular Project,Flood Control
DR-4337-0147-R,Regular Project,Flood Control
DR-1971-0702-R,Regular Project,Safe Room/Wind Shelter
DR-1972-0021-F,HMGP 5% Initiative,Generators
DR-1973-0028-F,HMGP 5% Initiative,Warning Systems
DR-4332-0239-R,Regular Project,Elevations
DR-1976-0008-F,HMGP 5% Initiative,Generators
DR-4337-0427-R,Regular Project,Wind Retrofit
DR-1985-0013-F,HMGP 5% Initiative,Warning Systems
DR-4337-0448-R,Regular Project,Flood Control
DR-1975-0005-R,Regular Project,Safe Room/Wind Shelter
DR-4337-0377-R,Regular Project,Flood Control
DR-1971-0504-F,HMGP 5% Initiative,Generators
DR-1971-0513-R,Regular Project,Safe Room/Wind Shelter
