GEOID,status,projects,projectAmount,federalShareObligated,average_months_approval,average_months_closed,average_months_disaster,average_disasters_per_project,NAME
01001,Approved,1,182900,137175,32,,,0,"Autauga County, Alabama"
01001,Closed,4,333390,227973,5.8,88.5,94.5,0,"Autauga County, Alabama"
01003,Approved,10,5021279,3411911.25,22.9,,,1,"Baldwin County, Alabama"
01003,Closed,6,848166,598942,21,50.3,71.8,0,"Baldwin County, Alabama"
01007,Approved,2,466327,349745,11.5,,,0,"Bibb County, Alabama"
01007,Closed,5,296575,218467,8.6,78.6,87.4,0,"Bibb County, Alabama"
01009,Approved,7,906749,646775,19.7,,,0,"Blount County, Alabama"
01009,Closed,3,151333,102512,13.7,50.7,64.7,0,"Blount County, Alabama"
01011,Closed,1,19000,12000,12,89,102,0,"Bullock County, Alabama"
01013,Approved,1,12895,8000,23,,,0,"Butler County, Alabama"
01013,Closed,3,176166,116270,22,65.7,88.3,0,"Butler County, Alabama"
01015,Approved,10,1603987,1202990.75,24.2,,,0,"Calhoun County, Alabama"
01015,Closed,3,321121,225700,13.3,92.3,105.7,0,"Calhoun County, Alabama"
01017,Closed,2,177150,121610,12.5,89,102,0,"Chambers County, Alabama"
01019,Approved,2,167180,125385,21,,,0,"Cherokee County, Alabama"
01019,Closed,8,284339,196863,12.1,75.2,87.8,0,"Cherokee County, Alabama"
01021,Approved,13,1533782,1150342,13.4,,,0,"Chilton County, Alabama"
01021,Closed,2,193508,141928,10,62,73,0,"Chilton County, Alabama"
01023,Approved,2,975630,731722.5,16.5,,,1,"Choctaw County, Alabama"
01023,Closed,2,48508,34971,14,67.5,81.5,0,"Choctaw County, Alabama"
01025,Approved,1,771523,578642,17,,,0,"Clarke County, Alabama"
01027,Approved,2,147832,110874,18,,,0,"Clay County, Alabama"
01027,Closed,1,119616,77510,18,91,109,0,"Clay County, Alabama"
01029,Approved,1,129316,96987,21,,,0,"Cleburne County, Alabama"
